Otimizado; Não Otimizado
 32087.8234; 32401.2391
 5094.4649; 5203.5468
 2776.4695; 2506.7888
 2198.4035; 2191.5214
 1282.2226; 1251.1997
 15391.1565; 1109.7544
 27766.2983; 12562.5253
 44569.4978; 40343.3264
 46901.1693; 44402.3468
 50801.7969; 51456.2789
 56229.3073; 56246.2603
 57853.0959; 56012.2608
 58204.6165; 59060.0516
 42963.2367; 44651.6065
 41453.8450; 40799.5910
 20594.3748; 21365.2634
 20389.1281; 20228.8547
 18520.7244; 18339.5908
 17108.9317; 16583.6288
