Otimizado; Não Otimizado
 0.003906; 0.017334
 0.131836; 0.156738
 0.302734; 0.360352
 0.485840; 0.595947
 1.130127; 1.387451
 1.861328; 2.251221
 4.395020; 5.424805
 6.817871; 8.387451
 7.099854; 8.786865
 9.733643; 12.041992
 17.455322; 21.305664
 28.083984; 34.866699
 38.573975; 47.987549
 107.981445; 134.064697
 113.371338; 139.793457
 432.305420; 535.032959
 453.440186; 556.748535
 972.879150; 1200.981445
 1814.358398; 2253.718994
