METODO; GRAD; HESS; SISTLIN
0.2475; 0.2427; 0.2573; 0.2495
0.2552; 0.2387; 0.2656; 0.2369
0.2439; 0.2345; 0.2743; 0.2153
0.2216; 0.2486; 0.2613; 0.1475
0.0635; 0.2728; 0.2794; 0.0170
0.0487; 0.2829; 0.2896; 0.0136
0.0974; 0.2878; 0.2849; 0.0830
0.1976; 0.2788; 0.2745; 0.1943
0.2047; 0.2813; 0.2733; 0.2020
0.2287; 0.2845; 0.2677; 0.2272
0.2417; 0.2903; 0.2598; 0.2410
0.2175; 0.2858; 0.2556; 0.2166
0.2468; 0.2904; 0.2506; 0.2464
0.2399; 0.2711; 0.2461; 0.2397
0.2177; 0.2789; 0.2469; 0.2173
0.1889; 0.2736; 0.2503; 0.1887
0.1835; 0.2750; 0.2509; 0.1833
0.1768; 0.2760; 0.2511; 0.1766
0.1689; 0.2884; 0.2514; 0.1687
