1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
2            	| -1.56664662808782e+02	| -1.56664652647165e+02	| -1.56664662808782e+02	| 
3            	| -1.56664662815086e+02	| -1.56664662733203e+02	| -1.56664662815086e+02	| 
4            	| 			| -1.56664662814424e+02	| 			| 
5            	| 			| -1.56664662815086e+02	| 			| 
Tempo total 	| 6.11083984375000e-01	| 3.98437500000000e-01	| 6.85302734375000e-01  |
Tempo derivadas | 5.56396484375000e-01	| 5.53955078125000e-01	| 6.02050781250000e-01  |
Tempo SL 	| 9.03320312500000e-03	| 3.90625000000000e-02	| 3.71093750000000e-02  |
#

10
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| -3.90000000000000e+02	| -3.90000000000000e+02	| -3.90000000000000e+02	| 
1            	| -3.91658364100711e+02	| -3.91658364100711e+02	| -3.91658364100711e+02	| 
2            	| -3.91661657021954e+02	| -3.91661631617912e+02	| -3.91661657021954e+02	| 
3            	| -3.91661657037714e+02	| -3.91661656833009e+02	| -3.91661657037714e+02	| 
4            	| 			| -3.91661657036060e+02	| 			| 
5            	| 			| -3.91661657037701e+02	| 			| 
6            	| 			| -3.91661657037714e+02	| 			| 
Tempo total 	| 5.88208007812500e+00	| 1.96337890625000e+00	| 5.48925781250000e+00  |
Tempo derivadas | 5.79443359375000e+00	| 9.12963867187500e+00	| 5.37060546875000e+00  |
Tempo SL 	| 2.63671875000000e-02	| 5.20019531250000e-02	| 4.44335937500000e-02  |
#

20
