METODO; GRAD; HESS; SISTLIN
266.8726; 69462.5858; 197172.2506; 5856.4021
303.0472; 12296.5586; 103629.7200; 1422.0944
321.1810; 7837.0698; 86466.4144; 756.5641
348.4562; 6471.3391; 71154.6321; 593.3079
753.4184; 5166.3570; 48670.5501; 1493.6081
509.7020; 4938.2514; 42086.2195; 479.9611
4626.0687; 5860.3848; 31117.9671; 6792.9714
6775.8655; 6206.9048; 24776.9276; 8884.3896
6880.6151; 6304.9556; 24737.4672; 8925.2368
7438.3622; 6544.9735; 21266.4821; 9055.9636
7725.3704; 6826.6693; 17876.7161; 8662.2913
7839.9498; 6992.3853; 15412.7588; 8431.9372
7871.3113; 7071.6345; 14797.0456; 8313.9008
9965.9489; 7208.3469; 11543.7090; 10328.0184
10151.4924; 7203.7253; 11516.9533; 10523.4921
13936.1548; 7080.7360; 8018.1105; 14459.9997
13885.0003; 7237.3666; 7762.5768; 14383.0867
14133.1089; 7138.3896; 7128.4912; 14626.5773
14266.1990; 7101.1560; 6880.7592; 14758.0529
