METODO; GRAD; HESS; SISTLIN
267.7029; 163094.0771; 61417.0839; 39427.8631
289.7295; 112927.1467; 12609.1945; 5430.5347
372.8128; 93903.3605; 8191.4016; 2829.8744
470.9438; 88630.3326; 7186.6140; 2457.8005
819.8565; 94235.7725; 7237.1444; 1262.9629
1257.7765; 82748.7098; 6947.9502; 1284.3627
11201.3340; 59672.2052; 7135.0160; 19979.8498
29443.2790; 50754.6701; 7478.7713; 43421.8244
32343.6873; 49990.4241; 7531.6432; 46655.2823
39793.6446; 43586.1711; 7584.1914; 51995.0635
48736.8692; 37813.3543; 8016.3177; 56160.6292
51434.9044; 33300.0567; 8226.6841; 55957.3335
55172.4785; 23537.3063; 8206.3933; 58958.5035
43102.9140; 16168.7387; 8294.7664; 44134.9223
36348.8255; 17383.1182; 8321.4705; 37022.7345
20501.9713; 12317.5097; 8415.2905; 20548.6143
18517.6815; 13043.7161; 8473.0870; 18545.5332
18332.4986; 11595.0981; 8490.7545; 18349.3690
16374.7776; 11639.2007; 8399.4297; 16381.2358
