Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.042969; 0.000977; 0.013184; 0.020752
0.397949; 0.012207; 0.135254; 0.238770
0.997803; 0.010010; 0.304932; 0.669922
