Otimizado; Não Otimizado
 69462.5858; 81946.3423
 12296.5586; 14072.1065
 7837.0698; 8609.0379
 6471.3391; 7297.7690
 5166.3570; 6607.9142
 4938.2514; 6153.8140
 5860.3848; 6754.5367
 6206.9048; 7241.5430
 6304.9556; 7341.4081
 6544.9735; 7648.3016
 6826.6693; 8036.0053
 6992.3853; 8214.2974
 7071.6345; 8252.1925
 7208.3469; 8347.8161
 7203.7253; 8393.0235
 7080.7360; 8362.6979
 7237.3666; 8494.9272
 7138.3896; 8526.0965
 7101.1560; 8264.5111
