Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.077881; 0.001953; 0.028809; 0.031982
0.805176; 0.018311; 0.268799; 0.473389
2.613037; 0.032471; 0.788818; 1.691406
