METODO; GRAD; HESS; SISTLIN
214.7998; 51121.6218; 164276.2267; 11539.2123
223.0829; 9197.8921; 98282.2437; 2425.6786
268.7490; 6400.5772; 96707.9354; 1509.3150
299.9188; 4912.9258; 84970.6891; 1241.3346
401.5491; 3945.5823; 61952.0725; 1024.0326
1189.5625; 4018.4557; 53172.1092; 3870.8318
2960.4551; 4169.5630; 38795.1936; 6551.2378
4480.6849; 4070.0664; 34650.7439; 8278.9172
4457.2333; 4000.9797; 33105.4643; 8036.9544
5511.6545; 3999.2774; 29971.5215; 8921.2338
6185.4757; 3894.6180; 24359.9136; 8540.6907
6565.1467; 3853.3108; 22229.7238; 8292.3990
6744.3855; 3833.0079; 18598.4031; 8188.4158
6876.2293; 3792.4233; 13095.7067; 7755.6380
6867.5266; 3780.7299; 15101.4612; 7729.6184
7185.4126; 3695.7271; 11993.7247; 7888.0851
7129.5958; 3767.8821; 11185.2650; 7795.3171
6952.1263; 3705.1044; 9900.6761; 7557.9439
6941.1883; 3683.2644; 9267.7280; 7531.9932
